Temperature,L,R,A_M,Color,Spectral_Class,Type
3068.00,0.00,0.17,16.12,Red,M,0.00
3042.00,0.00,0.15,16.60,Red,M,0.00
2600.00,0.00,0.10,18.70,Red,M,0.00
2800.00,0.00,0.16,16.65,Red,M,0.00
1939.00,0.00,0.10,20.06,Red,M,0.00
2840.00,0.00,0.11,16.98,Red,M,0.00
2637.00,0.00,0.13,17.22,Red,M,0.00
2600.00,0.00,0.10,17.40,Red,M,0.00
2650.00,0.00,0.11,17.45,Red,M,0.00
2700.00,0.00,0.13,16.05,Red,M,0.00
3600.00,0.00,0.51,10.69,Red,M,1.00
3129.00,0.01,0.38,11.79,Red,M,1.00
3134.00,0.00,0.20,13.21,Red,M,1.00
3628.00,0.01,0.39,10.48,Red,M,1.00
2650.00,0.00,0.14,11.78,Red,M,1.00
3340.00,0.00,0.24,13.07,Red,M,1.00
2799.00,0.00,0.16,14.79,Red,M,1.00
3692.00,0.00,0.47,10.80,Red,M,1.00
3192.00,0.00,0.20,13.53,Red,M,1.00
3441.00,0.04,0.35,11.18,Red,M,1.00
25000.00,0.06,0.01,10.58,Blue White,B,2.00
7740.00,0.00,0.01,14.02,White,A,2.00
7220.00,0.00,0.01,14.23,White,F,2.00
8500.00,0.00,0.01,14.50,White,A,2.00
16500.00,0.01,0.01,11.89,Blue White,B,2.00
12990.00,0.00,0.01,12.23,Yellowish White,F,2.00
8570.00,0.00,0.01,14.20,Blue white,A,2.00
7700.00,0.00,0.01,14.47,Yellowish White,F,2.00
11790.00,0.00,0.01,12.59,Yellowish White,F,2.00
7230.00,0.00,0.01,14.08,Pale yellow orange,F,2.00
39000.00,204000.00,10.60,-4.70,Blue,O,3.00
30000.00,28840.00,6.30,-4.20,Blue-white,B,3.00
15276.00,1136.00,7.20,-1.97,Blue-white,B,3.00
9700.00,74.00,2.89,0.16,Whitish,B,3.00
5800.00,0.81,0.90,5.05,yellow-white,F,3.00
8052.00,8.70,1.80,2.42,Whitish,A,3.00
6757.00,1.43,1.12,2.41,yellow-white,F,3.00
6380.00,1.35,0.98,2.93,yellow-white,F,3.00
5936.00,1.36,1.11,4.46,yellow-white,F,3.00
5587.00,0.82,0.99,5.03,yellow-white,F,3.00
3826.00,200000.00,19.00,-6.93,Red,M,4.00
3365.00,340000.00,23.00,-6.20,Red,M,4.00
3270.00,150000.00,88.00,-6.02,Red,M,4.00
3200.00,195000.00,17.00,-7.22,Red,M,4.00
3008.00,280000.00,25.00,-6.00,Red,M,4.00
3600.00,320000.00,29.00,-6.60,Red,M,4.00
3575.00,123000.00,45.00,-6.78,Red,M,4.00
3574.00,200000.00,89.00,-5.24,Red,M,4.00
3625.00,184000.00,84.00,-6.74,Red,M,4.00
33750.00,220000.00,26.00,-6.10,Blue,B,4.00
3490.00,270000.00,1520.00,-9.40,Red,M,5.00
3750.00,283000.00,1260.00,-7.63,Red,M,5.00
3834.00,272000.00,1183.00,-9.20,Red,M,5.00
3749.00,550000.00,1648.00,-8.05,Orange,M,5.00
3650.00,310000.00,1324.00,-7.79,Red,M,5.00
3450.00,263000.00,1349.00,-11.75,Red,M,5.00
3660.00,363000.00,1673.00,-11.92,Red,M,5.00
3450.00,174000.00,1284.00,-11.28,Red,M,5.00
3752.00,209000.00,955.00,-11.24,Red,M,5.00
3535.00,195000.00,1546.00,-11.36,Red,M,5.00
3341.00,0.01,0.06,16.23,Red,M,0.00
3432.00,0.00,0.19,16.94,Red,M,0.00
2983.00,0.00,0.09,16.09,Red,M,0.00
2835.00,0.00,0.09,16.96,Red,M,0.00
2935.00,0.00,0.12,18.89,Red,M,0.00
3295.00,0.00,0.13,17.13,Red,M,0.00
2945.00,0.00,0.09,18.34,Red,M,0.00
2817.00,0.00,0.09,16.45,Red,M,0.00
2774.00,0.00,0.12,17.39,Red,M,0.00
2871.00,0.00,0.12,19.43,Red,M,0.00
3345.00,0.02,0.27,12.30,Red,M,1.00
3607.00,0.02,0.38,10.12,Red,M,1.00
3304.00,0.01,0.18,13.20,Red,M,1.00
3150.00,0.01,0.35,11.94,Red,M,1.00
3550.00,0.00,0.29,10.89,Red,M,1.00
3180.00,0.00,0.35,11.76,Red,M,1.00
2890.00,0.00,0.24,13.46,Red,M,1.00
3342.00,0.00,0.31,11.87,Red,M,1.00
2621.00,0.00,0.10,12.81,Red,M,1.00
3158.00,0.00,0.16,13.98,Red,M,1.00
7100.00,0.00,0.01,14.09,White-Yellow,F,2.00
10574.00,0.00,0.01,12.02,White,F,2.00
8930.00,0.00,0.01,13.78,white,A,2.00
17200.00,0.00,0.02,12.45,Blue White,B,2.00
14100.00,0.00,0.01,12.17,Blue White,B,2.00
9675.00,0.00,0.01,13.98,Blue White,A,2.00
12010.00,0.00,0.01,12.13,Blue White,B,2.00
10980.00,0.00,0.01,11.19,Blue White,B,2.00
13720.00,0.00,0.01,12.97,white,F,2.00
19860.00,0.00,0.01,11.34,Blue,B,2.00
5300.00,0.59,0.91,5.49,yellow-white,F,3.00
4526.00,0.15,0.87,6.51,yellowish,K,3.00
4077.00,0.09,0.80,6.23,yellowish,K,3.00
4980.00,0.36,1.13,4.78,Yellowish,K,3.00
9030.00,45.00,2.63,1.45,Blue-white,A,3.00
11250.00,672.00,6.98,-2.30,Blue-white,A,3.00
5112.00,0.63,0.88,4.68,Orange-Red,K,3.00
7720.00,7.92,1.34,2.44,yellow-white,F,3.00
12098.00,689.00,7.01,0.02,Blue-white,A,3.00
36108.00,198000.00,10.20,-4.40,Blue,O,3.00
33300.00,240000.00,12.00,-6.50,Blue,B,4.00
40000.00,813000.00,14.00,-6.23,Blue,O,4.00
23000.00,127000.00,36.00,-5.76,Blue,O,4.00
17120.00,235000.00,83.00,-6.89,Blue,O,4.00
11096.00,112000.00,12.00,-5.91,Blue,O,4.00
14245.00,231000.00,42.00,-6.12,Blue,O,4.00
24630.00,363000.00,63.00,-5.83,Blue,O,4.00
12893.00,184000.00,36.00,-6.34,Blue,O,4.00
24345.00,142000.00,57.00,-6.24,Blue,O,4.00
33421.00,352000.00,67.00,-5.79,Blue,O,4.00
3459.00,100000.00,1289.00,-10.70,Red,M,5.00
3605.00,126000.00,1124.00,-10.81,Red,M,5.00
3615.00,200000.00,1635.00,-11.33,Red,M,5.00
3399.00,117000.00,1486.00,-10.92,Red,M,5.00
3610.00,132000.00,1522.00,-10.86,Red,M,5.00
3553.00,145000.00,1324.00,-11.03,Red,M,5.00
4015.00,282000.00,1534.00,-11.39,Red,K,5.00
3625.00,74000.00,876.00,-10.25,Red,M,5.00
6850.00,229000.00,1467.00,-10.07,Red,G,5.00
3780.00,200000.00,1324.00,-10.70,Red,M,5.00
3323.00,0.00,0.09,17.16,Red,M,0.00
3531.00,0.00,0.10,19.94,Red,M,0.00
3218.00,0.00,0.11,20.02,Red,M,0.00
3146.00,0.00,0.09,16.92,Red,M,0.00
3511.00,0.00,0.11,17.12,Red,M,0.00
3225.00,0.00,0.12,19.63,Red,M,0.00
2935.00,0.00,0.09,16.88,Red,M,0.00
2861.00,0.00,0.09,16.71,Red,M,0.00
2856.00,0.00,0.08,19.56,Red,M,0.00
2731.00,0.00,0.09,18.09,Red,M,0.00
3095.00,0.00,0.49,10.87,Red,M,1.00
3607.00,0.00,0.38,10.34,Red,M,1.00
3100.00,0.01,0.31,11.17,Red,M,1.00
2989.00,0.01,0.34,13.12,Red,M,1.00
3542.00,0.00,0.62,14.23,Red,M,1.00
3243.00,0.00,0.73,14.75,Red,M,1.00
3091.00,0.01,0.24,11.43,Red,M,1.00
3598.00,0.00,0.56,14.26,Red,M,1.00
3324.00,0.00,0.34,12.23,Red,M,1.00
3541.00,0.00,0.26,14.33,Red,M,1.00
13420.00,0.00,0.01,13.67,Blue White,B,2.00
21020.00,0.00,0.01,11.52,Blue,B,2.00
18290.00,0.00,0.01,12.78,Blue,B,2.00
14520.00,0.00,0.01,11.92,Blue White,B,2.00
11900.00,0.00,0.01,11.38,Blue white,B,2.00
8924.00,0.00,0.01,14.87,Blue white,A,2.00
12912.00,0.00,0.01,12.83,Blue white,B,2.00
14732.00,0.00,0.01,12.89,white,F,2.00
7723.00,0.00,0.01,14.81,White,A,2.00
12984.00,0.00,0.01,11.23,Blue White,B,2.00
29560.00,188000.00,6.02,-4.01,Blue-white,B,3.00
8945.00,38.00,2.49,0.12,Blue-White,A,3.00
14060.00,1092.00,5.75,-2.04,Blue-white,A,3.00
16390.00,1278.00,5.68,-3.32,Blue-white,B,3.00
25070.00,14500.00,5.92,-3.98,Blue-white,B,3.00
28700.00,16790.00,6.40,-4.09,Blue-white,B,3.00
26140.00,14520.00,5.49,-3.80,Blue-white,B,3.00
20120.00,4720.00,6.78,-3.40,Blue-white,B,3.00
13023.00,998.00,6.21,-1.38,Blue-white,A,3.00
37800.00,202900.00,6.86,-4.56,Blue,O,3.00
25390.00,223000.00,57.00,-5.92,Blue,O,4.00
11567.00,251000.00,36.00,-6.25,Blue,O,4.00
12675.00,452000.00,83.00,-5.62,Blue,O,4.00
5752.00,245000.00,97.00,-6.63,Blue,O,4.00
8927.00,239000.00,35.00,-7.34,Blue,O,4.00
7282.00,131000.00,24.00,-7.22,Blue,O,4.00
19923.00,152000.00,73.00,-5.69,Blue,O,4.00
26373.00,198000.00,39.00,-5.83,Blue,O,4.00
17383.00,342900.00,30.00,-6.09,Blue,O,4.00
9373.00,424520.00,24.00,-5.99,Blue,O,4.00
3570.00,320000.00,1480.00,-7.58,Red,M,5.00
3500.00,138000.00,1420.00,-8.18,Red,M,5.00
4287.00,630000.00,1315.00,-9.20,Orange,K,5.00
26000.00,316000.00,1679.00,-9.10,Blue,B,5.00
3600.00,240000.00,1190.00,-7.89,Red,M,5.00
3614.00,145000.00,1553.00,-7.71,Red,M,5.00
18000.00,200000.00,1045.00,-8.30,Blue,O,5.00
11000.00,170000.00,1779.00,-9.90,Blue-white,B,5.00
12100.00,120000.00,708.90,-7.84,Blue-white,B,5.00
24490.00,248490.00,1134.50,-8.24,Blue-white,B,5.00
2831.00,0.00,0.09,16.21,Red,M,0.00
2914.00,0.00,0.12,18.39,Red,M,0.00
3419.00,0.00,0.13,17.56,Red,M,0.00
3218.00,0.00,0.10,17.34,Red,M,0.00
3453.00,0.00,0.08,17.08,Red,M,0.00
2889.00,0.00,0.10,16.93,Red,M,0.00
2968.00,0.00,0.12,17.45,Red,M,0.00
3484.00,0.00,0.10,16.67,Red,M,0.00
2778.00,0.00,0.11,19.45,Red,M,0.00
3523.00,0.00,0.13,16.35,Red,M,0.00
3462.00,0.01,0.15,11.47,Red,M,1.00
3257.00,0.00,0.46,10.73,Red,M,1.00
2994.00,0.01,0.28,13.45,Red,M,1.00
3212.00,0.00,0.38,12.85,Red,M,1.00
3523.00,0.01,0.32,12.43,Red,M,1.00
3598.00,0.00,0.67,13.67,Red,M,1.00
3142.00,0.00,0.26,14.12,Red,M,1.00
3496.00,0.00,0.34,14.94,Red,M,1.00
3324.00,0.01,0.47,12.78,Red,M,1.00
3463.00,0.00,0.68,14.78,Red,M,1.00
16790.00,0.00,0.01,12.87,Blue,B,2.00
15680.00,0.00,0.01,11.92,Blue,B,2.00
14982.00,0.00,0.01,12.23,Blue,B,2.00
13340.00,0.00,0.01,12.90,Blue,B,2.00
18340.00,0.00,0.01,11.22,Blue,B,2.00
19920.00,0.00,0.01,11.34,Blue,B,2.00
24020.00,0.00,0.01,10.55,Blue,B,2.00
23092.00,0.00,0.01,10.18,Blue,B,2.00
17920.00,0.00,0.01,11.66,Blue,B,2.00
19360.00,0.00,0.01,11.62,Blue,B,2.00
22350.00,12450.00,6.36,-3.67,Blue-white,B,3.00
10012.00,552.00,5.86,0.01,Blue-white,A,3.00
13089.00,788.00,5.99,-0.12,Blue-white,A,3.00
22012.00,6748.00,6.64,-2.55,Blue-white,B,3.00
34190.00,198200.00,6.39,-4.57,Blue,O,3.00
32460.00,173800.00,6.24,-4.36,Blue,O,3.00
9320.00,29.00,1.91,1.24,Blue-white,A,3.00
19400.00,10920.00,6.03,-3.08,Blue-white,B,3.00
17140.00,883.00,5.65,-2.64,Blue-white,B,3.00
8250.00,9.25,1.93,-0.98,yellow-white,F,3.00
23678.00,244290.00,35.00,-6.27,Blue,O,4.00
12749.00,332520.00,76.00,-7.02,Blue,O,4.00
9383.00,342940.00,98.00,-6.98,Blue,O,4.00
23440.00,537430.00,81.00,-5.98,Blue,O,4.00
16787.00,246730.00,62.00,-6.35,Blue,O,4.00
18734.00,224780.00,46.00,-7.45,Blue,O,4.00
9892.00,593900.00,80.00,-7.26,Blue,O,4.00
10930.00,783930.00,25.00,-6.22,Blue,O,4.00
23095.00,347820.00,86.00,-5.91,Blue,O,4.00
21738.00,748890.00,92.00,-7.35,Blue,O,4.00
24145.00,382993.00,1494.00,-8.84,Blue-white,B,5.00
38234.00,272830.00,1356.00,-9.29,Blue,O,5.00
32489.00,648430.00,1948.50,-10.84,Blue,O,5.00
27739.00,849420.00,1252.00,-7.59,Blue-white,B,5.00
21904.00,748490.00,1130.00,-7.67,Blue-white,B,5.00
38940.00,374830.00,1356.00,-9.93,Blue,O,5.00
30839.00,834042.00,1194.00,-10.63,Blue,O,5.00
8829.00,537493.00,1423.00,-10.73,White,A,5.00
9235.00,404940.00,1112.00,-11.23,White,A,5.00
37882.00,294903.00,1783.00,-7.80,Blue,O,5.00
